day,old_testament,ot_verses,new_testament,nt_verses,psalms_proverbs,pp_verses,total_verses
1,Genesis 1–3,80,Matthew 1,25,Psalm 1,6,111
2,Genesis 4–5,58,Matthew 2,22,Psalm 2,12,92
3,Genesis 6–8,68,Matthew 3,17,Psalm 3,8,93
4,Genesis 9–11,93,Matthew 4,25,Psalm 4,8,126
5,Genesis 12–14,62,Matthew 5,48,Psalm 5,12,122
6,Genesis 15–17,64,Matthew 6,34,Proverbs 1:1–7,7,105
7,Genesis 18–20,89,Matthew 7,29,Proverbs 1:8–19,12,130
8,Genesis 21–23,78,Matthew 8,34,Proverbs 1:20–33,14,126
9,Genesis 24,67,Matthew 9,38,Psalm 6,10,115
10,Genesis 25–26,69,Matthew 10,42,Psalm 7,17,128
11,Genesis 27–28,68,Matthew 11,30,Psalm 8,9,107
12,Genesis 29–30,78,Matthew 12,50,Psalm 9,20,148
13,Genesis 31–32,87,Matthew 13,58,Psalm 10,18,163
14,Genesis 33–34,51,Matthew 14,36,Proverbs 2:1–11,11,98
15,Genesis 35–36,72,Matthew 15,39,Proverbs 2:12–22,11,122
16,Genesis 37–39,89,Matthew 16,28,Psalm 11,7,124
17,Genesis 40–41,80,Matthew 17,27,Psalm 12,8,115
18,Genesis 42–43,72,Matthew 18,35,Psalm 13,6,113
19,Genesis 44–45,62,Matthew 19,30,Psalm 14,7,99
20,Genesis 46–48,87,Matthew 20,34,Psalm 15,5,126
21,Genesis 49–50,59,Matthew 21,46,Proverbs 3:1–12,12,117
22,Exodus 1–3,69,Matthew 22,45,Proverbs 3:13–24,12,126
23,Exodus 4–6,84,Matthew 23,39,Proverbs 3:25–35,11,134
24,Exodus 7–8,57,Matthew 24,51,Psalm 16,11,119
25,Exodus 9–11,74,Matthew 25,46,Psalm 17,15,135
26,Exodus 12–13,73,Matthew 26:1–35,35,Psalm 18:1–24,24,132
27,Exodus 14–16,94,Matthew 26:36–74,39,Psalm 18:25–50,26,159
28,Exodus 17–19,68,Matthew 27:1–31,31,Psalm 19,14,113
29,Exodus 20–21,62,Matthew 27:32–66,35,Psalm 20,9,106
30,Exodus 22–24,82,Matthew 28,20,Proverbs 4:1–9,9,111
31,Exodus 25–26,77,Mark 1,45,Proverbs 4:10–19,10,132
32,Exodus 27–28,64,Mark 2,28,Proverbs 4:20–27,8,100
33,Exodus 29–30,84,Mark 3,35,Psalm 21,13,132
34,Exodus 31–33,76,Mark 4,40,Psalm 22:1–21,21,137
35,Exodus 34–35,70,Mark 5,43,Psalm 22:22–31,10,123
36,Exodus 36–37,67,Mark 6,56,Psalm 23,6,129
37,Exodus 38–39,74,Mark 7,36,Psalm 24,10,120
38,"Exodus 40, Leviticus 1–2",71,Mark 8,37,Psalm 25,22,130
39,Leviticus 3–5,71,Mark 9,50,Proverbs 5:1–14,14,135
40,Leviticus 6–7,68,Mark 10,52,Proverbs 5:15–23,9,129
41,Leviticus 8–10,80,Mark 11,33,Psalm 26,12,125
